Wallet game ID,Game title,Game provider,Vendor,Game type
51081,Supermarket Spree,PG Soft,pgsoft,slots
51023,Symbols Of Egypt,PG Soft,pgsoft,slots
51060,Thai River Wonders,PG Soft,pgsoft,slots
51029,The Great Icescape,PG Soft,pgsoft,slots
51086,The Queen's Banquet,PG Soft,pgsoft,slots
51140,Three Crazy Piggies,PG Soft,pgsoft,slots
51100,Totem Wonders,PG Soft,pgsoft,slots
51055,Treasures of Aztec,PG Soft,pgsoft,slots
51011,Tree of Fortune,PG Soft,pgsoft,slots
51121,Tsar Treasures,PG Soft,pgsoft,slots
51117,Ultimate Striker,PG Soft,pgsoft,slots
51032,Vampire's Charm,PG Soft,pgsoft,slots
51072,Ways of the Qilin,PG Soft,pgsoft,slots
51122,WereWolf's Hunt,PG Soft,pgsoft,slots
51128,Wild Ape #3258,PG Soft,pgsoft,slots
51070,Wild Bandito,PG Soft,pgsoft,slots
51096,Wild Bounty Showdown,PG Soft,pgsoft,slots
51099,Wild Coaster,PG Soft,pgsoft,slots
51051,Wild Fireworks,PG Soft,pgsoft,slots
51118,Wild Heist Cashout,PG Soft,pgsoft,slots
51094,Win Win Fish Prawn Crab,PG Soft,pgsoft,slots
51009,Win Win Won,PG Soft,pgsoft,slots
51139,Wings of Iguazu,PG Soft,pgsoft,slots
51138,Yakuza Honor,PG Soft,pgsoft,slots
51133,Zombie Outbreak,PG Soft,pgsoft,slots
51014,Baccarat Deluxe,PG Soft,pgsoft,tablegames
51151,Knockout Riches,PG Soft,pgsoft,slots
51152,Dead Man's Riches,PG Soft,pgsoft,slots
